,Instruction,Output
633,ဘက်တီးရီးယား ရွက်ပြောက်ရောဂါ၏ လက္ခဏာများကို ဖော်ပြပါ။,ရွက်အစွန်းများတွင် အဝါရောင်သန်းသော အညိုရောင် အစင်းများ၊ ရွက်များ ညှိုးရိ ခြောက်သွေ့ခြင်း၊ နှင့် ရွက်ဖျားပိုင်းများ ဖြူဖျော့သွားခြင်းတို့ ဖြစ်သည်။
634,ဘက်တီးရီးယား ရွက်ပြောက်ရောဂါ ပျံ့နှံ့ပုံကို ရှင်းပြပါ။,ရောဂါပိုးသည် မိုးရေ၊ လေ၊ ရေသွင်းခြင်း၊ ညစ်ပတ်သော စိုက်ပျိုးရေး ကိရိယာများမှတစ်ဆင့် ပျံ့နှံ့နိုင်သည်။ ထို့အပြင် မျိုးစေ့မှလည်း ကူးစက်နိုင်သည်။
635,ဘက်တီးရီးယား ရွက်ပြောက်ရောဂါကို ဘယ်လို ကာကွယ်နိုင်သလဲ?,ရောဂါဒဏ်ခံနိုင်သော မျိုးများ စိုက်ပျိုးခြင်း၊ သန့်ရှင်းသော စိုက်ပျိုးရေး အလေ့အကျင့်များ ကျင့်သုံးခြင်း၊ နိုက်ထရိုဂျင် ဓာတ်မြေဩဇာ အလွန်အကျွံ မသုံးခြင်းတို့ဖြင့် ကာကွယ်နိုင်သည်။
636,Rice blast ဆိုတာ ဘာလဲ?,Rice blast သည် စပါးပင်များတွင် ဖြစ်ပွားသော အန္တရာယ်ရှိသော မှိုရောဂါတစ်မျိုး ဖြစ်သည်။ ၎င်းကို Magnaporthe oryzae ဟုခေါ်သော မှိုကြောင့် ဖြစ်ပွားသည်။
637,Rice blast ၏ လက္ခဏာများကို ဖော်ပြပါ။,Rice blast ၏ လက္ခဏာများတွင် အရွက်များပေါ်တွင် မီးလောင်ဒဏ်ရာကဲ့သို့ အစင်းများ၊ အညိုရောင် သို့မဟုတ် အနက်ရောင် အစက်အပြောက်များ ပါဝင်သည်။ ပြင်းထန်သောအခါ အရွက်များ သေကြေပျက်စီးနိုင်သည်။
638,Rice blast ရောဂါ ပျံ့နှံ့ပုံကို ရှင်းပြပါ။,Rice blast ရောဂါသည် လေနှင့်အတူ ပျံ့နှံ့သော မှိုမျိုးစေ့များမှတစ်ဆင့် ပျံ့နှံ့သည်။ စိုစွတ်သောအခြေအနေများနှင့် အပူချိန် 20-30°C သည် ရောဂါပျံ့နှံ့မှုကို မြှင့်တင်ပေးသည်။
639,Rice blast ကို ကာကွယ်ရန် နည်းလမ်းများကို ဖော်ပြပါ။,Rice blast ကို ကာကွယ်ရန် နည်းလမ်းများတွင် ရောဂါဒဏ်ခံနိုင်သော မျိုးများ စိုက်ပျိုးခြင်း၊ သင့်တော်သော မြေသြဇာ စီမံခန့်ခွဲမှု၊ ရေကို စနစ်တကျ စီမံခန့်ခွဲခြင်းနှင့် မှိုသတ်ဆေးများ အသုံးပြုခြင်းတို့ ပါဝင်သည်။
640,Rice blast ကြောင့် ဖြစ်ပေါ်လာသော စီးပွားရေး သက်ရောက်မှုများကို ဖော်ပြပါ။,Rice blast သည် အထွက်နှုန်းကို သိသိသာသာ လျော့ကျစေနိုင်ပြီး တစ်ခါတစ်ရံ 70-80% အထိ ဆုံးရှုံးမှု ဖြစ်စေနိုင်သည်။ ၎င်းသည် တောင်သူများ၏ ဝင်ငွေကို လျော့နည်းစေပါတယ်။
641,Fair Trade ဆိုတာဘာလဲ?,Fair Trade ဆိုတာ ကုန်သွယ်မှုပုံစံတစ်မျိုးဖြစ်ပြီး ထုတ်လုပ်သူများအတွက် မျှတသောစျေးနှုန်းနှင့် လုပ်ငန်းခွင်အခြေအနေများကို အာမခံပေးပါတယ်။
642,Fair Trade ရဲ့ အဓိကရည်ရွယ်ချက်ကဘာလဲ?,Fair Trade ရဲ့ အဓိကရည်ရွယ်ချက်က ဖွံ့ဖြိုးဆဲနိုင်ငံများမှ တောင်သူလယ်သမားများနှင့် အလုပ်သမားများအတွက် ပိုမိုကောင်းမွန်သော စီးပွားရေးအခြေအနေများ ဖန်တီးပေးရန်ဖြစ်ပါတယ်။
643,Fair Trade စံနှုန်းတွေကဘာတွေလဲ?,Fair Trade စံနှုန်းတွေထဲမှာ မျှတသောစျေးနှုန်း၊ လုံခြုံစိတ်ချရတဲ့ အလုပ်ခွင်အခြေအနေများ၊ ပတ်ဝန်းကျင်ထိန်းသိမ်းရေး လုပ်ဆောင်ချက်များ၊ နှင့် ကလေးလုပ်သားခိုင်းစေမှု တားမြစ်ခြင်းတို့ ပါဝင်ပါတယ်။
644,Fair Trade ထုတ်ကုန်တွေက ဘာတွေလဲ?,Fair Trade ထုတ်ကုန်တွေထဲမှာ ကော်ဖီ၊ လက်ဖက်၊ ငှက်ပျောသီး၊ ဝါဂွမ်း၊ ပန်းသီး၊ နှင့် လက်မှုပစ္စည်းများ ပါဝင်ပါတယ်။
645,Fair Trade ကို ဘယ်လိုအသိအမှတ်ပြုနိုင်လဲ?,Fair Trade ထုတ်ကုန်တွေကို အများအားဖြင့် Fair Trade တံဆိပ် သို့မဟုတ် အမှတ်အသားဖြင့် အသိအမှတ်ပြုနိုင်ပါတယ်။ ဒီတံဆိပ်က ထုတ်ကုန်ဟာ Fair Trade စံနှုန်းနဲ့ ကိုက်ညီကြောင်း အာမခံပေးပါတယ်။
646,Fair Trade က ထုတ်လုပ်သူတွေကို ဘယ်လိုအကျိုးပြုလဲ?,Fair Trade က ထုတ်လုပ်သူတွေကို မျှတသောစျေးနှုန်း၊ ရေရှည်တည်တံ့သော ဆက်ဆံရေး၊ နှင့် လူမှုရေးဖွံ့ဖြိုးမှုအတွက် ပရီမီယံကြေးတွေ ပေးခြင်းဖြင့် အကျိုးပြုပါတယ်။
647,Fair Trade မှာ Premium ဆိုတာဘာလဲ?,Fair Trade Premium ဆိုတာ Fair Trade ထုတ်ကုန်တွေအတွက် ပေးဆောင်ရတဲ့ ထပ်ဆောင်းငွေပမာဏဖြစ်ပြီး လူမှုရေးနှင့် စီးပွားရေးဖွံ့ဖြိုးမှု စီမံကိန်းတွေအတွက် အသုံးပြုပါတယ်။
648,Fair Trade က စားသုံးသူတွေအတွက် ဘယ်လိုအကျိုးရှိလဲ?,Fair Trade က စားသုံးသူတွေကို ကျင့်ဝတ်နှင့်ညီသော ထုတ်ကုန်တွေ ရွေးချယ်ဝယ်ယူနိုင်စေပြီး ဖွံ့ဖြိုးဆဲနိုင်ငံများမှ လူမှုအသိုင်းအဝိုင်းတွေကို ထောက်ပံ့ကူညီနိုင်စေပါတယ်။
649,Fair Trade နဲ့ သဘာဝပတ်ဝန်းကျင် ထိန်းသိမ်းရေးက ဘယ်လိုဆက်စပ်နေလဲ?,Fair Trade က ရေရှည်တည်တံ့သော စိုက်ပျိုးရေးနည်းစနစ်တွေ၊ ဓာတုပစ္စည်းအသုံးပြုမှု လျှော့ချခြင်း၊ နှင့် ဇီဝမျိုးစုံမျိုးကွဲ ထိန်းသိမ်းခြင်းတို့ကို အားပေးတာကြောင့် သဘာဝပတ်ဝန်းကျင် ထိန်းသိမ်းရေးနဲ့ ဆက်စပ်နေပါတယ်။
650,Fair Trade လှုပ်ရှားမှုရဲ့ စိန်ခေါ်မှုတွေက ဘာတွေလဲ?,Fair Trade လှုပ်ရှားမှုရဲ့ စိန်ခေါ်မှုတွေထဲမှာ စားသုံးသူတွေရဲ့ အသိပညာမြှင့်တင်ရန်၊ ပိုမိုကျယ်ပြန့်သော ဈေးကွက်ရရှိရန်၊ နှင့် ကြီးမားသော ကုမ္ပဏီကြီးတွေရဲ့ လွှမ်းမိုးမှုကို ရင်ဆိုင်ရခြင်းတို့ ပါဝင်ပါတယ်။
651,NPK ဟူသော အတိုကောက်စကားလုံး၏ အဓိပ္ပာယ်ကို ရှင်းပြပါ။,NPK သည် မြေသြဇာတွင် ပါဝင်သော အဓိက အာဟာရဓာတ် သုံးမျိုးဖြစ်သည့် နိုက်ထရိုဂျင် (Nitrogen)၊ ဖော့စဖရပ်စ် (Phosphorus) နှင့် ပိုတက်စီယမ် (Potassium) တို့၏ သင်္ကေတများကို ကိုယ်စားပြုသည်။
652,NPK မြေသြဇာ၏ အဓိက အကျိုးကျေးဇူးများကို ဖော်ပြပါ။,NPK မြေသြဇာသည် အပင်များ၏ ကြီးထွားမှုနှင့် ကျန်းမာရေးကို မြှင့်တင်ပေးခြင်း၊ အရွက်နှင့် အမြစ်ဖွံ့ဖြိုးမှုကို အားပေးခြင်း၊ ပန်းပွင့်ခြင်းနှင့် အသီးသီးခြင်းကို ကူညီပေးခြင်းတို့ ပြုလုပ်ပေးသည်။
653,NPK မြေသြဇာတွင် နိုက်ထရိုဂျင်၏ အခန်းကဏ္ဍကို ရှင်းပြပါ။,နိုက်ထရိုဂျင်သည် အရွက်များ၏ ကြီးထွားမှုနှင့် အစိမ်းရောင်ကို မြှင့်တင်ပေးသည်။ ၎င်းသည် ကလိုရိုဖီးထုတ်လုပ်မှုနှင့် ပရိုတင်းဓာတ်ပေါင်းစပ်မှုတွင် အရေးကြီးသော အခန်းကဏ္ဍမှ ပါဝင်သည်။
654,NPK မြေသြဇာတွင် ဖော့စဖရပ်စ်၏ အခန်းကဏ္ဍကို ရှင်းပြပါ။,ဖော့စဖရပ်စ်သည် အမြစ်စနစ် ဖွံ့ဖြိုးမှုကို အားပေးပြီး စွမ်းအင်လွှဲပြောင်းမှုနှင့် သိုလှောင်မှုကို ကူညီပေးသည်။ ၎င်းသည် ပန်းပွင့်ခြင်းနှင့် အသီးသီးခြင်းကိုလည်း အထောက်အကူပြုသည်။
655,NPK မြေသြဇာတွင် ပိုတက်စီယမ်၏ အခန်းကဏ္ဍကို ရှင်းပြပါ။,ပိုတက်စီယမ်သည် အပင်များ၏ ရောဂါဒဏ်ခံနိုင်ရည်နှင့် ဒဏ်ခံနိုင်ရည်ကို မြှင့်တင်ပေးသည်။ ၎င်းသည် ရေနှင့် အာဟာရဓာတ်များ သယ်ယူပို့ဆောင်ခြင်းကို ကူညီပြီး အသီးအရည်အသွေးကို မြှင့်တင်ပေးသည်။
656,NPK မြေသြဇာပေါ်ရှိ နံပါတ်များ၏ အဓိပ္ပာယ်ကို ရှင်းပြပါ။,NPK မြေသြဇာပေါ်ရှိ နံပါတ်များသည် နိုက်ထရိုဂျင်၊ ဖော့စဖရပ်စ်နှင့် ပိုတက်စီယမ်တို့၏ ရာခိုင်နှုန်းကို ကိုယ်စားပြုသည်။ ဥပမာ၊ 10-5-5 ဆိုသည်မှာ 10% နိုက်ထရိုဂျင်၊ 5% ဖော့စဖရပ်စ်နှင့် 5% ပိုတက်စီယမ် ပါဝင်ကြောင်း ဖော်ပြခြင်းဖြစ်သည်။
657,NPK မြေသြဇာကို မည်သို့ အသုံးပြုရမည်နည်း။,NPK မြေသြဇာကို ရေဖျန်းပြီးနောက် မြေဆီလွှာထဲသို့ ဖောက်ထည့်ပါ။ အပင်၏ အမြစ်ဧရိယာပတ်လည်တွင် ညီညာစွာ ဖြန့်ကြဲပါ။ မြေသြဇာကို အပင်၏ ပင်စည် သို့မဟုတ် အရွက်များနှင့် တိုက်ရိုက်ထိတွေ့ခြင်းမှ ရှောင်ကြဉ်ပါ။
658,NPK မြေသြဇာကို မည်သည့်အချိန်တွင် အသုံးပြုသင့်သနည်း။,NPK မြေသြဇာကို စိုက်ပျိုးရာသီ အစပိုင်းတွင် အသုံးပြုပါ။ အပင်များ စတင်ကြီးထွားချိန်၊ ပန်းပွင့်ချိန်နှင့် အသီးသီးချိန်တို့တွင် ထပ်မံအသုံးပြုနိုင်သည်။ ရာသီအလိုက် အပင်များအတွက် နှစ်စဉ် အနည်းဆုံး နှစ်ကြိမ် အသုံးပြုပါ။
659,NPK မြေသြဇာကို လွန်ကဲစွာ အသုံးပြုခြင်း၏ ဆိုးကျိုးများကို ဖော်ပြပါ။,NPK မြေသြဇာကို လွန်ကဲစွာ အသုံးပြုခြင်းသည် အပင်များကို လောင်ကျွမ်းစေနိုင်သည်။ မြေဆီလွှာ၏ pH ကို ပြောင်းလဲစေနိုင်ပြီး အခြားအာဟာရဓာတ်များကို စုပ်ယူခြင်းကို အနှောင့်အယှက်ဖြစ်စေနိုင်သည်။ ၎င်းသည် ပတ်ဝန်းကျင်ညစ်ညမ်းမှုနှင့် ရေထုညစ်ညမ်းမှုကိုလည်း ဖြစ်ပေါ်စေနိုင်သည်။
660,ဓာတုဗေဒရှုထောင့်မှ organic fertilizer ဆိုတာဘာလဲ,အော်ဂဲနစ်မြေသြဇာဆိုတာ သက်ရှိအကြွင်းအကျန်တွေကနေ ရရှိတဲ့ မြေသြဇာဖြစ်ပြီး ဓာတုပစ္စည်းတွေ မပါဝင်ပါဘူး။ ဒီမြေသြဇာတွေဟာ အပင်တွေအတွက် အာဟာရဓာတ်တွေ ပေးစွမ်းပါတယ်။
661,Organic fertilizer ရဲ့ အဓိက ဓာတုဖွဲ့စည်းပုံကို ရှင်းပြပါ,အော်ဂဲနစ်မြေသြဇာတွေမှာ ကာဗွန် (carbon) နိုက်ထရိုဂျင် (nitrogen) ဖော့စဖရပ်စ် (phosphorus) နဲ့ ပိုတက်စီယမ် (potassium) တို့ ပါဝင်ပါတယ်။ ဒါ့အပြင် အခြားသတ္တုဓာတ်တွေနဲ့ ဇီဝပစ္စည်းတွေလည်း ပါဝင်ပါတယ်။
662,Organic fertilizer ထဲက နိုက်ထရိုဂျင်ရဲ့ အခန်းကဏ္ဍကို ဖော်ပြပါ,နိုက်ထရိုဂျင်ဟာ အပင်တွေရဲ့ အရွက်ဖွံ့ဖြိုးမှုနဲ့ အစိမ်းရောင်အသွင်အပြင်အတွက် အရေးကြီးပါတယ်။ ပရိုတင်းဓာတ်နဲ့ အမိုင်နိုအက်ဆစ်တွေ ထုတ်လုပ်ရာမှာလည်း အထောက်အကူပြုပါတယ်။
663,Organic fertilizer ထဲက ဖော့စဖရပ်စ်ရဲ့ အရေးပါပုံကို ရှင်းပြပါ,ဖော့စဖရပ်စ်ဟာ အပင်တွေရဲ့ အမြစ်စနစ်ဖွံ့ဖြိုးမှု ပန်းပွင့်ခြင်းနဲ့ အသီးသီးခြင်းတို့အတွက် အရေးကြီးပါတယ်။ ဒါ့အပြင် စွမ်းအင်လွှဲပြောင်းမှုနဲ့ DNA ဖွဲ့စည်းမှုတွေမှာလည်း ပါဝင်ပါတယ်။
664,Organic fertilizer ထဲက ပိုတက်စီယမ်ရဲ့ တာဝန်ကို ဖော်ပြပါ,ပိုတက်စီယမ်ဟာ အပင်တွေရဲ့ ရေနဲ့ အာဟာရစုပ်ယူမှုကို ကူညီပေးပါတယ်။ အပင်တွေကို ရောဂါဒဏ်ခံနိုင်စေပြီး အရည်အသွေးကောင်းတဲ့ အသီးအနှံတွေ ဖြစ်ထွန်းစေပါတယ်။
665,Organic fertilizer တွေရဲ့ pH level ကို ဘယ်လိုသက်ရောက်မှုရှိသလဲ,အော်ဂဲနစ်မြေသြဇာတွေဟာ မြေဆီလွှာရဲ့ pH ကို ညှိပေးနိုင်ပါတယ်။ အများအားဖြင့် မြေဆီလွှာကို ကြားနေ (neutral) သို့မဟုတ် အနည်းငယ် အက်ဆစ်ဖြစ်စေပါတယ်။ ဒါကြောင့် အပင်တွေအတွက် သင့်တော်တဲ့ ပတ်ဝန်းကျင်ကို ဖန်တီးပေးပါတယ်။
666,Organic fertilizer တွေမှာ ပါဝင်တဲ့ အဏုဇီဝသက်ရှိတွေရဲ့ အခန်းကဏ္ဍကို ရှင်းပြပါ,အော်ဂဲနစ်မြေသြဇာတွေမှာ ပါဝင်တဲ့ ဘက်တီးရီးယားနဲ့ မှိုတွေဟာ အော်ဂဲနစ်ပစ္စည်းတွေကို ပိုင်းဖြတ်ပေးပြီး အပင်တွေ လွယ်ကူစွာ စုပ်ယူနိုင်တဲ့ အာဟာရဓာတ်တွေ ဖြစ်လာစေပါတယ်။ ဒါ့အပြင် မြေဆီလွှာတည်ဆောက်ပုံကိုလည်း ကောင်းမွန်စေပါတယ်။
667,Humic acid ဆိုတာဘာလဲ၊ organic fertilizer နဲ့ ဘယ်လိုဆက်စပ်သလဲ,Humic acid ဆိုတာ အပင်နဲ့ တိရစ္ဆာန်အကြွင်းအကျန်တွေ ဆွေးမြေ့ရာကနေ ဖြစ်ပေါ်လာတဲ့ ရှုပ်ထွေးတဲ့ အော်ဂဲနစ်မော်လီကျူးတွေ ဖြစ်ပါတယ်။ ဒါဟာ အော်ဂဲနစ်မြေသြဇာတွေမှာ ပါဝင်ပြီး မြေဆီလွှာတည်ဆောက်ပုံ တိုးတက်စေပါတယ်။
668,Organic fertilizer တွေရဲ့ ဓာတုဓာတ်ပြုမှုနှုန်းကို ရှင်းပြပါ,အော်ဂဲနစ်မြေသြဇာတွေဟာ ဓာတုမြေသြဇာတွေထက် ဓာတ်ပြုမှုနှုန်း နှေးပါတယ်။ ဒါကြောင့် အာဟာရဓာတ်တွေကို တဖြည်းဖြည်းချင်း ထုတ်လွှတ်ပေးပြီး ကြာရှည်သက်ရောက်မှုရှိပါတယ်။ ဒါဟာ အပင်တွေအတွက် ရေရှည်အာဟာရရရှိမှုကို အာမခံပေးပါတယ်။
669,Organic fertilizer တွေမှာ ပါဝင်တဲ့ trace elements တွေရဲ့ အရေးပါပုံကို ဖော်ပြပါ,Trace elements တွေဖြစ်တဲ့ သံ (iron) မဂ္ဂနီစ် (manganese) ဇင့် (zinc) နဲ့ ကော့ပါး (copper) စတာတွေဟာ အနည်းငယ်သာ လိုအပ်ပေမယ့် အပင်တွေရဲ့ ကျန်းမာရေးနဲ့ ကြီးထွားမှုအတွက် အရေးကြီးပါတယ်။ အော်ဂဲနစ်မြေသြဇာတွေဟာ ဒီ trace elements တွေကို သဘာဝအတိုင်း ပါဝင်စေပါတယ်။
670,ပိုးမွှားရောဂါဖြစ်စေသော အဏုဇီဝပိုးများကို ဘာခေါ်သလဲ,Plant pathogens ကို အပင်ရောဂါဖြစ်စေသော ပိုးမွှားများဟု ခေါ်ပါသည်။
671,မြန်မာနိုင်ငံတွင် တွေ့ရသော အဓိက စပါးရောဂါတစ်ခုကို ဖော်ပြပါ,မြန်မာနိုင်ငံတွင် တွေ့ရသော အဓိက စပါးရောဂါတစ်ခုမှာ Rice blast disease (စပါးဖျက်ပိုး) ဖြစ်ပါသည်။
672,ဘက်တီးရီးယားကြောင့်ဖြစ်သော ပဲပင်ရောဂါတစ်ခုကို ဖော်ပြပါ,Bacterial blight of bean (ပဲရွက်ပြောက်ရောဂါ) သည် ဘက်တီးရီးယားကြောင့်ဖြစ်သော ပဲပင်ရောဂါတစ်ခု ဖြစ်ပါသည်။
673,မြန်မာနိုင်ငံတွင် ရာဘာပင်များကို ထိခိုက်စေသော မှိုရောဂါတစ်ခုကို ဖော်ပြပါ,White root disease (အမြစ်ဖြူရောဂါ) သည် မြန်မာနိုင်ငံရှိ ရာဘာပင်များကို ထိခိုက်စေသော မှိုရောဂါတစ်ခု ဖြစ်ပါသည်။
674,ဗိုင်းရပ်စ်ကြောင့်ဖြစ်သော ငှက်ပျောပင်ရောဂါတစ်ခုကို ဖော်ပြပါ,Banana bunchy top virus disease (ငှက်ပျောထိပ်ညှပ်ရောဂါ) သည် ဗိုင်းရပ်စ်ကြောင့်ဖြစ်သော ငှက်ပျောပင်ရောဂါတစ်ခု ဖြစ်ပါသည်။
675,နီမတုဒ်ကြောင့်ဖြစ်သော ခရမ်းချဉ်ပင်ရောဂါတစ်ခုကို ဖော်ပြပါ,Root-knot nematode disease (အမြစ်ဖုရောဂါ) သည် နီမတုဒ်ကြောင့်ဖြစ်သော ခရမ်းချဉ်ပင်ရောဂါတစ်ခု ဖြစ်ပါသည်။
676,မြန်မာနိုင်ငံတွင် ဝါပင်များကို ထိခိုက်စေသော ပိုးမွှားရောဂါတစ်ခုကို ဖော်ပြပါ,Cotton bollworm (ဝါသီးဖျက်ပိုး) သည် မြန်မာနိုင်ငံရှိ ဝါပင်များကို ထိခိုက်စေသော ပိုးမွှားရောဂါတစ်ခု ဖြစ်ပါသည်။
677,မြန်မာနိုင်ငံတွင် သရက်ပင်များကို ထိခိုက်စေသော ဘက်တီးရီးယားရောဂါတစ်ခုကို ဖော်ပြပါ,Bacterial black spot (သရက်ရွက်အနက်ပြောက်ရောဂါ) သည် မြန်မာနိုင်ငံရှိ သရက်ပင်များကို ထိခိုက်စေသော ဘက်တီးရီးယားရောဂါတစ်ခု ဖြစ်ပါသည်။
678,ကြက်သွန်ဖြူပင်များတွင် တွေ့ရသော မှိုရောဂါတစ်ခုကို ဖော်ပြပါ,Garlic rust (ကြက်သွန်ဖြူသံချေးရောဂါ) သည် ကြက်သွန်ဖြူပင်များတွင် တွေ့ရသော မှိုရောဂါတစ်ခု ဖြစ်ပါသည်။
679,ပိုးမွှားရောဂါခံနိုင်ရည်ရှိသော အပင်မျိုးများကို ဖော်ပြပါ။,ရောဂါဒဏ်ခံနိုင်သော စပါးမျိုး၊ ပိုးမွှားဒဏ်ခံ ပဲပင်မျိုး၊ ဗိုင်းရပ်စ်ဒဏ်ခံ ခရမ်းချဉ်သီးပင်
680,Plant breeding နည်းပညာကို မြန်မာလို ရှင်းပြပါ။,အပင်မျိုးစပ်ခြင်း နည်းပညာသည် လိုချင်သော လက္ခဏာများပါဝင်သည့် အပင်မျိုးသစ်များ ဖော်ထုတ်ရန် မျိုးဗီဇပိုင်းဆိုင်ရာ နည်းလမ်းများကို အသုံးပြုခြင်းဖြစ်သည်။
681,Genetic engineering ၏ အဓိပ္ပါယ်ကို မြန်မာလိုပြောပြပါ။,မျိုးရိုးဗီဇ အင်ဂျင်နီယာပညာသည် သက်ရှိတစ်ခု၏ DNA ကို တိုက်ရိုက်ပြုပြင်ခြင်းဖြင့် ၎င်း၏ ဂုဏ်သတ္တိများကို ပြောင်းလဲစေသော နည်းပညာဖြစ်သည်။
682,Pathogen-resistant crops ဆိုတာ ဘာလဲ။,ရောဂါပိုးများကို ခုခံနိုင်စွမ်းရှိသော သီးနှံပင်များဖြစ်ပြီး ဤသီးနှံပင်များသည် ရောဂါပိုးများ၏ တိုက်ခိုက်မှုကို ခံနိုင်ရည်ရှိကာ ထိခိုက်ပျက်စီးမှု နည်းပါးသည်။
683,Integrated Pest Management (IPM) ကို မြန်မာလိုရှင်းပြပါ။,ပေါင်းစပ်ပိုးမွှားကာကွယ်နှိမ်နင်းခြင်းသည် သဘာဝပတ်ဝန်းကျင်နှင့် သဟဇာတဖြစ်ပြီး စီးပွားရေးအရ ထိရောက်သော နည်းလမ်းများဖြင့် သီးနှံပင်များကို ပိုးမွှားများမှ ကာကွယ်သည့် စနစ်ဖြစ်သည်။
684,Biological control ဆိုသည်မှာ အဘယ်နည်း။,ဇီဝနည်းဖြင့်ထိန်းချုပ်ခြင်းသည် သဘာဝရန်သူများ (ပိုးမွှားစားသတ္တဝါများ၊ ကပ်ပါးကောင်များ၊ ရောဂါဖြစ်ပွားစေသော ပိုးမွှားများ) ကို အသုံးပြု၍ အန္တရာယ်ရှိသော ပိုးမွှားများကို ထိန်းချုပ်သည့် နည်းလမ်းဖြစ်သည်။
685,Crop rotation ၏ အကျိုးကျေးဇူးများကို ဖော်ပြပါ။,သီးနှံအလှည့်ကျစိုက်ပျိုးခြင်းသည် မြေဆီလွှာကို ပိုမိုကောင်းမွန်စေခြင်း၊ ပိုးမွှားနှင့် ရောဂါများကို လျော့နည်းစေခြင်း၊ ပေါင်းပင်များကို ထိန်းချုပ်ခြင်းနှင့် အထွက်နှုန်း တိုးတက်စေခြင်းတို့ကို ဖြစ်စေသည်။
686,Biopesticides ဆိုတာ ဘာလဲ။,ဇီဝပိုးသတ်ဆေးများသည် သက်ရှိများ (ဥပမာ - ဘက်တီးရီးယား၊ မှို၊ ဗိုင်းရပ်စ်) သို့မဟုတ် သဘာဝပစ္စည်းများမှ ထုတ်လုပ်ထားသော ပိုးသတ်ဆေးများဖြစ်ပြီး ပတ်ဝန်းကျင်နှင့် သဟဇာတဖြစ်ကာ ဓာတုပိုးသတ်ဆေးများထက် အန္တရာယ်နည်းပါးသည်။
687,Systemic Acquired Resistance (SAR) ကို ရှင်းပြပါ။,အပင်တစ်ပင်လုံးတွင် ဖြစ်ပေါ်သော ခုခံစွမ်းအားစနစ်ဖြစ်ပြီး ရောဂါပိုး သို့မဟုတ် ဓာတုပစ္စည်းတစ်ခုခုနှင့် ထိတွေ့ပြီးနောက် အပင်၏ ခုခံနိုင်စွမ်း မြင့်တက်လာခြင်းဖြစ်သည်။
688,Marker-assisted selection နည်းပညာကို မြန်မာလိုရှင်းပြပါ။,မာကာအထောက်အကူပြု ရွေးချယ်ခြင်းနည်းပညာသည် DNA မာကာများကို အသုံးပြု၍ လိုချင်သော မျိုးဗီဇလက္ခဏာများပါဝင်သော အပင်များကို ပိုမိုလျင်မြန်ထိရောက်စွာ ရွေးချယ်နိုင်သည့် မျိုးစပ်ရေးနည်းလမ်းတစ်ခုဖြစ်သည်။
689,Transgenic crops ဆိုတာ ဘာလဲ။,မျိုးဗီဇပြုပြင်ထားသော သီးနှံပင်များသည် အခြားမျိုးစိတ်များမှ မျိုးဗီဇတစ်ခု သို့မဟုတ် တစ်ခုထက်ပိုသော မျိုးဗီဇများကို ထည့်သွင်းထားသော အပင်များဖြစ်သည်။ ဤနည်းဖြင့် ပိုးမွှား သို့မဟုတ် ရောဂါဒဏ်ခံနိုင်ရည်ရှိသော သီးနှံမျိုးများကို ထုတ်လုပ်နိုင်သည်။
690,Induced resistance ကို မြန်မာလိုရှင်းပြပါ။,လှုံ့ဆော်ခုခံအား ဖြစ်ပေါ်စေခြင်းသည် ဓာတုပစ္စည်းများ သို့မဟုတ် ဇီဝပစ္စည်းများကို အသုံးပြု၍ အပင်၏ သဘာဝခုခံအားစနစ်ကို နှိုးဆွပေးခြင်းဖြင့် ရောဂါပိုးများကို ခုခံနိုင်စွမ်း မြှင့်တင်ပေးသည့် နည်းလမ်းဖြစ်သည်။
691,Gene silencing နည်းပညာကို မြန်မာလိုရှင်းပြပါ။,မျိုးဗီဇတိတ်ဆိတ်စေခြင်း နည်းပညာသည် သီးခြားမျိုးဗီဇတစ်ခု၏ လုပ်ဆောင်ချက်ကို ရပ်တန့်စေသည့် နည်းလမ်းဖြစ်ပြီး ဤနည်းဖြင့် ရောဂါဖြစ်ပွားစေသော မျိုးဗီဇများကို ပိတ်ပင်ခြင်းဖြင့် အပင်များကို ရောဂါဒဏ်မှ ကာကွယ်နိုင်သည်။
692,CRISPR-Cas9 နည်းပညာကို မြန်မာလိုရှင်းပြပါ။,CRISPR-Cas9 သည် တိကျသော DNA ပြုပြင်မွမ်းမံရေးနည်းပညာဖြစ်ပြီး ဤနည်းပညာဖြင့် အပင်များ၏ မျိုးဗီဇကို ပိုမိုတိကျစွာ ပြုပြင်နိုင်ကာ ရောဂါဒဏ်ခံနိုင်ရည်ရှိသော အပင်မျိုးသစ်များ ဖန်တီးနိုင်သည်။
693,Phytosanitary measures ဆိုတာ ဘာလဲ။,အပင်ကျန်းမာရေးဆိုင်ရာ စီမံဆောင်ရွက်ချက်များသည် အပင်များနှင့် အပင်ထွက်ပစ္စည်းများကို ရောဂါပိုးမွှားများ ကူးစက်ပြန့်ပွားခြင်းမှ ကာကွယ်ရန် ချမှတ်ထားသော စည်းမျဉ်းစည်းကမ်းများနှင့် လုပ်ထုံးလုပ်နည်းများ ဖြစ်သည်။
